ppn	spkr	id	var	dur	f	pool	list	def	s	o1	o2	o3	o4	cor	r	rt	i
OTLWM	20	11	1	661	11_20_1.wav	1	1	11	m	47	68	126	11	1	4	2729	1
OTLWM	34	5	1	780	5_34_1.wav	2	3	41	f	68	166	41	67	1	3	2322	2
OTLWM	29	12	1	579	12_29_1.wav	3	1	13	m	140	13	49	56	1	2	1786	3
OTLWM	42	3	3	775	3_42_3.wav	3	1	38	f	38	116	65	49	1	1	1291	4
OTLWM	49	3	1	475	3_49_1.wav	3	3	41	f	106	105	114	41	1	4	2441	5
OTLWM	30	4	3	590	4_30_3.wav	3	1	18	f	50	126	80	18	1	4	2326	6
OTLWM	48	1	1	695	1_48_1.wav	2	1	2	f	101	2	103	100	1	2	1080	7
OTLWM	45	5	1	720	5_45_1.wav	2	2	15	f	154	15	87	114	1	2	1761	8
OTLWM	30	2	3	419	2_30_3.wav	1	1	18	f	97	58	26	18	1	4	2087	9
OTLWM	24	4	2	935	4_24_2.wav	3	1	33	f	33	44	178	107	0	1	1172	10
OTLWM	53	5	1	710	5_53_1.wav	2	2	12	f	54	147	12	63	1	3	1717	11
OTLWM	33	3	2	845	3_33_2.wav	3	1	16	f	53	16	81	90	1	2	3495	12
OTLWM	50	6	1	548	6_50_1.wav	1	1	31	f	30	14	90	31	1	4	2057	13
OTLWM	31	11	2	689	11_31_2.wav	1	3	41	m	166	41	123	55	0	2	2264	14
OTLWM	30	9	2	373	9_30_2.wav	2	1	18	m	150	78	48	18	0	4	2260	15
OTLWM	12	10	1	517	10_12_1.wav	1	1	1	m	108	166	109	1	1	4	1835	16
OTLWM	52	4	3	885	4_52_3.wav	3	3	41	f	41	46	113	14	0	1	1464	17
OTLWM	4	4	3	705	4_4_3.wav	3	2	32	f	32	83	9	91	1	1	1077	18
OTLWM	27	1	2	710	1_27_2.wav	2	3	41	f	109	107	52	41	1	4	2446	19
OTLWM	8	9	4	667	9_8_4.wav	2	2	6	m	6	25	111	117	1	1	1318	20
OTLWM	36	7	1	725	7_36_1.wav	3	1	23	m	105	23	72	174	1	2	1909	21
OTLWM	19	3	1	837	3_19_1.wav	3	2	29	f	29	39	40	119	0	1	1262	22
OTLWM	50	5	3	710	5_50_3.wav	2	1	31	f	45	43	70	31	1	4	1545	23
OTLWM	9	5	1	725	5_9_1.wav	2	2	37	f	37	52	68	154	1	1	1528	24
OTLWM	54	7	2	735	7_54_2.wav	3	2	19	m	126	19	28	32	1	2	3046	25
OTLWM	56	9	3	519	9_56_3.wav	2	2	3	m	3	78	119	98	1	1	3236	26
OTLWM	5	10	2	577	10_5_2.wav	1	2	25	m	126	25	141	106	1	2	1886	27
OTLWM	29	1	4	690	1_29_4.wav	2	1	13	f	13	162	64	173	1	1	2392	28
OTLWM	11	10	2	568	10_11_2.wav	1	3	41	m	78	41	14	118	1	2	2253	29
OTLWM	7	2	3	793	2_7_3.wav	1	1	20	f	83	122	36	20	0	4	1358	30
OTLWM	32	4	3	690	4_32_3.wav	3	3	41	f	77	95	41	57	1	3	3500	31
OTLWM	37	9	1	624	9_37_1.wav	2	1	22	m	22	136	42	78	1	1	3398	32
OTLWM	35	1	3	720	1_35_3.wav	2	2	17	f	179	17	133	24	1	2	3896	33
OTLWM	40	7	3	725	7_40_3.wav	3	1	34	m	12	34	6	53	1	2	1764	34
OTLWM	55	11	3	437	11_55_3.wav	1	3	41	m	52	118	41	64	1	3	3979	35
OTLWM	44	1	4	675	1_44_4.wav	2	3	41	f	41	63	119	155	1	1	4687	36
OTLWM	37	2	1	613	2_37_1.wav	1	1	22	f	141	22	84	32	1	2	1768	37
OTLWM	7	1	4	685	1_7_4.wav	2	1	20	f	20	54	75	146	1	1	2511	38
OTLWM	13	3	2	595	3_13_2.wav	3	2	30	f	66	115	122	30	1	4	2765	39
OTLWM	4	9	3	527	9_4_3.wav	2	2	32	m	144	32	92	136	1	2	1407	40
OTLWM	48	11	1	550	11_48_1.wav	1	1	2	m	171	14	68	2	1	4	2210	41
OTLWM	46	10	3	452	10_46_3.wav	1	1	24	m	87	24	157	51	1	2	1864	42
OTLWM	24	1	3	725	1_24_3.wav	2	1	33	f	70	33	171	50	1	2	1191	43
OTLWM	54	11	2	500	11_54_2.wav	1	2	19	m	19	157	43	20	0	1	1164	44
OTLWM	28	7	3	680	7_28_3.wav	3	3	41	m	172	136	122	41	1	4	2027	45
OTLWM	41	2	2	563	2_41_2.wav	1	3	41	f	39	96	41	120	0	1	5664	46
OTLWM	29	10	3	765	10_29_3.wav	1	1	13	m	85	13	151	63	0	2	1579	47
OTLWM	55	7	1	660	7_55_1.wav	3	3	41	m	130	102	41	30	0	3	2126	48
OTLWM	57	1	1	625	1_57_1.wav	2	2	10	f	10	77	46	36	1	1	1829	49
OTLWM	52	5	3	720	5_52_3.wav	2	3	41	f	41	2	178	169	1	1	2399	50
OTLWM	23	9	4	527	9_23_4.wav	2	3	41	m	146	114	41	52	0	3	2508	51
OTLWM	16	5	2	685	5_16_2.wav	2	3	41	f	94	117	41	167	1	3	2394	52
OTLWM	47	3	3	790	3_47_3.wav	3	2	9	f	9	84	55	143	1	1	1373	53
OTLWM	18	3	3	717	3_18_3.wav	3	2	7	f	154	145	7	111	1	3	1720	54
OTLWM	15	11	1	583	11_15_1.wav	1	2	5	m	120	84	66	5	1	4	2699	55
OTLWM	51	5	2	940	5_51_2.wav	2	3	41	f	61	41	135	92	1	2	1803	56
OTLWM	43	6	3	500	6_43_3.wav	1	1	27	f	27	125	62	178	1	1	3263	57
OTLWM	9	2	2	631	2_9_2.wav	1	2	37	f	179	37	117	164	0	2	3083	58
OTLWM	41	5	1	940	5_41_1.wav	2	3	41	f	124	41	63	149	1	2	3444	59
OTLWM	17	1	3	660	1_17_3.wav	2	1	39	f	108	171	112	39	1	4	1850	60
OTLWM	51	12	3	649	12_51_3.wav	3	3	41	m	41	44	135	10	1	1	1420	61
OTLWM	1	2	1	568	2_1_1.wav	1	3	41	f	146	41	46	162	1	2	3045	62
OTLWM	10	9	4	500	9_10_4.wav	2	1	21	m	21	148	24	169	0	1	1758	63
OTLWM	14	1	2	670	1_14_2.wav	2	3	41	f	100	156	165	41	0	4	4539	64
OTLWM	50	3	1	740	3_50_1.wav	3	1	31	f	31	99	84	68	1	1	1639	65
OTLWM	46	1	1	660	1_46_1.wav	2	1	24	f	15	24	82	44	1	2	1852	66
OTLWM	45	10	2	499	10_45_2.wav	1	2	15	m	92	163	174	15	1	4	2206	67
OTLWM	28	11	2	609	11_28_2.wav	1	3	41	m	72	102	68	41	0	4	2528	68
OTLWM	3	3	2	550	3_3_2.wav	3	3	41	f	75	176	41	60	1	3	2075	69
OTLWM	31	5	2	830	5_31_2.wav	2	3	41	f	162	46	41	12	1	3	2205	70
OTLWM	16	2	3	585	2_16_3.wav	1	3	41	f	41	1	86	122	1	1	2144	71
OTLWM	36	1	3	680	1_36_3.wav	2	1	23	f	23	107	56	161	1	1	1248	72
OTLWM	12	12	1	586	12_12_1.wav	3	1	1	m	1	90	86	116	1	1	1879	73
OTLWM	19	5	1	790	5_19_1.wav	2	2	29	f	68	160	84	29	1	4	1388	74
OTLWM	19	6	1	693	6_19_1.wav	1	2	29	f	29	24	134	26	1	1	2050	75
OTLWM	17	10	2	693	10_17_2.wav	1	1	39	m	66	32	33	39	0	2	1936	76
