id	target	base	production_cue
1	celmo	cello	CELmo
2	ablas	atlas	ABlas
3	hile	file	HIle
4	alcum	album	ALcum
5	dokane	douane	DOkane
6	alara	alarm	aLAra
7	mobot	robot	MObot
8	saltris	salaris	SALtris
9	catera	camera	CAtera
10	tadi	taxi	TAdi
11	nobra	cobra	NObra
12	frec	fret	frec
13	uzer	uier	Uzer
14	porin	porie	POrin
15	lagine	lawine	laGIne
16	halik	havik	HAlik
17	vidus	virus	VIdus
18	ziloer	zilver	ZILoer
19	alimaat	klimaat	ALImaat
20	ratuur	natuur	RAtuur
21	eglo	iglo	Eglo
22	radak	radar	RAdak
23	waraf	karaf	waRAF
24	abulet	amulet	abuLET
25	indet	index	INdet
26	asaalt	asfalt	Asaalt
27	trefe	trede	TREfe
28	niald	naald	NIald
29	meibel	meubel	MEIbel
30	fleb	fles	fleb
31	lepia	lepra	LEpia
32	prema	poema	PREma
33	sprug	spuug	sprug
34	relma	reuma	RELma
35	astia	astma	AStia
36	puzil	pupil	puZIL
37	stelet	skelet	STElet
38	ramijn	ravijn	RAmijn
39	okrel	oksel	Okrel
40	gole	golf	GOle
41	tosto	tosti	TOSto
42	pamat	patat	PAmat
43	kohma	komma	kohMA
44	assel	asiel	ASsel
45	keno	kano	KEno
46	fiehe	fiche	FIEhe
47	jenu	menu	JEnu
48	ofera	opera	Ofera
49	hemb	hemd	hemb
50	teno	tent	TEno
51	elane	eland	Elane
52	calia	cavia	CAlia
53	ananak	ananas	ANanak
54	elster	ekster	ELster
55	gjord	fjord	gjord
56	arwt	erwt	arwt
57	taroe	tarwe	TAroe
58	vitroen	citroen	VItroen
59	maverie	materie	MAverie
60	winc	wind	winc
